Working... ━                                          3% 0:02:00
         2807150 function calls (2787663 primitive calls) in 4.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 text.py:194(update)
       10    0.000    0.000    0.000    0.000 extras.py:237(getdoc)
      972    0.000    0.000    0.000    0.000 colors.py:216(_is_nth_color)
        1    0.000    0.000    0.000    0.000 animation.py:1(<module>)
        5    0.000    0.000    0.000    0.000 core.py:3089(re)
        5    0.000    0.000    0.000    0.000 dataclasses.py:599(_frozen_get_del_attr)
       11    0.000    0.000    0.000    0.000 decorator.py:75(__init__)
        1    0.000    0.000    0.000    0.000 helpers.py:643(<dictcomp>)
       30    0.000    0.000    0.000    0.000 typing.py:1632(__getitem_inner__)
       80    0.000    0.000    0.000    0.000 typing.py:845(__init__)
       86    0.000    0.000    0.000    0.000 core.py:3754(__init__)
        2    0.000    0.000    0.000    0.000 axis.py:647(__init__)
      243    0.000    0.000    0.000    0.000 core.py:461(__init__)
        1    0.000    0.000    0.000    0.000 widgets.py:2177(_SelectorWidget)
      890    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 __init__.py:331(<listcomp>)
     10/3    0.000    0.000    0.000    0.000 unicode.py:14(__get__)
        1    0.000    0.000    0.000    0.000 _base.py:1198(_gen_axes_spines)
        1    0.000    0.000    0.000    0.000 _base.py:1213(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _text_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:1(<module>)
        4    0.000    0.000    0.000    0.000 spines.py:432(linear_spine)
       11    0.000    0.000    0.000    0.000 decorator.py:144(make)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
       23    0.000    0.000    0.000    0.000 typing.py:2857(<dictcomp>)
       29    0.000    0.000    0.000    0.000 typing.py:1804(__class_getitem__)
        1    0.000    0.000    0.000    0.000 type_check.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _make.py:580(<listcomp>)
     5840    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      193    0.000    0.000    0.000    0.000 typing.py:1568(<genexpr>)
        1    0.000    0.000    0.000    0.000 axis.py:2294(__init__)
       10    0.000    0.000    0.000    0.000 inspect.py:1336(getfullargspec)
       23    0.000    0.000    0.000    0.000 text.py:1303(set_fontproperties)
       91    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
      109    0.000    0.000    0.000    0.000 __init__.py:331(wrapper)
       31    0.000    0.000    0.000    0.000 enum.py:482(__prepare__)
       10    0.000    0.000    0.000    0.000 deprecation.py:316(delete_parameter)
        1    0.000    0.000    0.000    0.000 ansi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      512    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:377(_mac_os_check)
      312    0.000    0.000    0.000    0.000 _parser.py:369(_escape)
      534    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
       25    0.000    0.000    0.000    0.000 _make.py:2566(evolve)
       15    0.000    0.000    0.000    0.000 _make.py:731(build_class)
       16    0.000    0.000    0.000    0.000 _make.py:1631(_make_hash)
        1    0.000    0.000    0.000    0.000 palette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version_info.py:1(<module>)
      839    0.000    0.000    0.000    0.000 inspect.py:755(_is_wrapper)
       84    0.000    0.000    0.000    0.000 __init__.py:244(make_alias)
       66    0.000    0.000    0.000    0.000 core.py:4540(__init__)
      471    0.000    0.000    0.000    0.000 font_manager.py:1107(_expand_aliases)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1(<module>)
       51    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      170    0.000    0.000    0.000    0.000 cm.py:89(__getitem__)
     1259    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     3449    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       14    0.000    0.000    0.000    0.000 _make.py:795(_create_slots_class)
  638/514    0.000    0.000    0.000    0.000 typing.py:1371(__hash__)
        3    0.000    0.000    0.000    0.000 _make.py:1898(_add_repr)
        4    0.000    0.000    0.000    0.000 spines.py:35(__init__)
      437    0.000    0.000    0.000    0.000 typing.py:1287(__getattr__)
      132    0.000    0.000    0.000    0.000 ast.py:430(visit_Constant)
        6    0.000    0.000    0.000    0.000 patches.py:48(__init__)
       29    0.000    0.000    0.000    0.000 pathlib.py:353(_select_from)
      230    0.000    0.000    0.000    0.000 artist.py:416(pchanged)
       53    0.000    0.000    0.000    0.000 artist.py:180(__init__)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
      260    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        1    0.000    0.000    0.000    0.000 patches.py:3086(ArrowStyle)
  324/273    0.000    0.000    0.000    0.000 typing.py:1669(__hash__)
        2    0.000    0.000    0.000    0.000 _base.py:3316(tick_params)
        1    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:57(_make_fontconfig_parser)
      552    0.000    0.000    0.000    0.000 function_base.py:348(iterable)
       16    0.000    0.000    0.000    0.000 padding.py:79(__rich_console__)
      752    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 text.py:117(Text)
      230    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 polynomial.py:453(polyfit)
      136    0.000    0.000    0.000    0.000 typing.py:1656(<genexpr>)
        1    0.000    0.000    0.000    0.000 getlimits.py:162(_register_known_types)
      170    0.000    0.000    0.000    0.000 colors.py:953(copy)
       14    0.000    0.000    0.000    0.000 _make.py:965(add_hash)
      139    0.000    0.000    0.000    0.000 style.py:122(__init__)
       33    0.000    0.000    0.000    0.000 typing.py:1503(copy_with)
      629    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      596    0.000    0.000    0.000    0.000 enum.py:826(__setattr__)
     4293    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        2    0.000    0.000    0.000    0.000 __init__.py:514(_get_config_or_cache_dir)
       10    0.000    0.000    0.000    0.000 progress.py:1567(<genexpr>)
       19    0.000    0.000    0.000    0.000 artist.py:1201(update)
  331/328    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
       22    0.000    0.000    0.000    0.000 ast.py:33(parse)
      510    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 _enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:80(alphanums)
        9    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.000    0.000 __init__.py:334(<listcomp>)
        8    0.000    0.000    0.000    0.000 progress.py:509(__call__)
        4    0.000    0.000    0.000    0.000 backend_bases.py:1946(get_width_height)
      234    0.000    0.000    0.000    0.000 _parser.py:224(__init__)
1360/1026    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      157    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
  251/223    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
      235    0.000    0.000    0.000    0.000 cbook.py:285(process)
        1    0.000    0.000    0.000    0.000 progress.py:1583(add_task)
        1    0.000    0.000    0.000    0.000 spinner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 repr.py:1(<module>)
       31    0.000    0.000    0.000    0.000 pathlib.py:484(_parse_args)
        1    0.000    0.000    0.000    0.000 segment.py:63(Segment)
     1507    0.000    0.000    0.000    0.000 typing.py:1365(__eq__)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
       31    0.000    0.000    0.000    0.000 function_base.py:24(linspace)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
        1    0.000    0.000    0.000    0.000 progress.py:1530(refresh)
       16    0.000    0.000    0.000    0.000 pathlib.py:504(_from_parts)
       30    0.000    0.000    0.000    0.000 typing.py:1613(copy_with)
      261    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       13    0.000    0.000    0.000    0.000 pathlib.py:868(__new__)
       30    0.000    0.000    0.000    0.000 markers.py:225(__init__)
        1    0.000    0.000    0.000    0.000 _pep440.py:1(<module>)
      306    0.000    0.000    0.000    0.000 results.py:148(__new__)
        1    0.000    0.000    0.000    0.000 _plotutils.py:1(<module>)
       30    0.000    0.000    0.000    0.000 __init__.py:2081(getLogger)
     2670    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 unicode.py:70(alphas)
        1    0.000    0.000    0.000    0.000 style.py:30(Style)
        8    0.000    0.000    0.000    0.000 colors.py:1630(make_norm_from_scale)
      325    0.000    0.000    0.000    0.000 function_base.py:483(_add_docstring)
     2869    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       47    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 transforms.py:327(max)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2265(_IPv6Constants)
        2    0.000    0.000    0.000    0.000 enum.py:839(_create_)
        2    0.000    0.000    0.000    0.000 unicode.py:55(_chars_for_ranges)
      458    0.000    0.000    0.000    0.000 {built-in method builtins.all}
1165/1073    0.000    0.000    0.000    0.000 artist.py:317(stale)
   134/34    0.000    0.000    0.000    0.000 core.py:1904(__str__)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
     3950    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:805(copy)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 table.py:517(_calculate_column_widths)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2189(__init__)
      181    0.000    0.000    0.000    0.000 contextlib.py:287(helper)
        6    0.000    0.000    0.000    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.000    0.000 table.py:523(<listcomp>)
     10/4    0.000    0.000    0.000    0.000 core.py:4271(streamline)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      646    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      181    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        4    0.000    0.000    0.000    0.000 table.py:701(_measure_column)
     1557    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
     5392    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 artist.py:1416(ArtistInspector)
        1    0.000    0.000    0.000    0.000 unicode.py:1(<module>)
       29    0.000    0.000    0.000    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 markers.py:1(<module>)
      798    0.000    0.000    0.000    0.000 __init__.py:966(<lambda>)
       23    0.000    0.000    0.000    0.000 font_manager.py:595(__init__)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1814(Parser)
        1    0.000    0.000    0.000    0.000 axis.py:2532(__init__)
       49    0.000    0.000    0.000    0.000 core.py:131(get_object_signature)
       64    0.000    0.000    0.000    0.000 enum.py:939(_get_mixins_)
        1    0.000    0.000    0.000    0.000 tokenize.py:392(open)
        1    0.000    0.000    0.000    0.000 _emoji_codes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
      298    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:571(get_cachedir)
     2346    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        9    0.000    0.000    0.000    0.000 text.py:686(__rich_console__)
     1139    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
     2389    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       30    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
       34    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
      296    0.000    0.000    0.000    0.000 cbook.py:2011(_setattr_cm)
     1551    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        5    0.000    0.000    0.000    0.000 cbook.py:539(_get_data_path)
        1    0.000    0.000    0.000    0.000 ExifTags.py:294(<dictcomp>)
     1270    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
      675    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 measure.py:1(<module>)
      518    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
        6    0.000    0.000    0.000    0.000 patches.py:2271(<listcomp>)
       24    0.000    0.000    0.000    0.000 font_manager.py:615(_from_any)
     2105    0.000    0.000    0.000    0.000 typing.py:1695(<genexpr>)
      987    0.000    0.000    0.000    0.000 _parser.py:79(groups)
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
        6    0.000    0.000    0.000    0.000 lines.py:1029(get_path)
      851    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
        4    0.000    0.000    0.000    0.000 text.py:258(from_markup)
      210    0.000    0.000    0.000    0.000 inspect.py:1947(_signature_get_user_defined_method)
       29    0.000    0.000    0.000    0.000 core.py:5682(__init__)
       70    0.000    0.000    0.000    0.000 inspect.py:2065(_signature_is_builtin)
       33    0.000    0.000    0.000    0.000 core.py:3043(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6855(__init__)
      893    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        6    0.000    0.000    0.000    0.000 lines.py:666(recache)
       30    0.000    0.000    0.000    0.000 markers.py:306(_set_marker)
       11    0.000    0.000    0.000    0.000 version.py:43(parse)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
        2    0.000    0.000    0.000    0.000 axis.py:1189(_set_lim)
       42    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
     1292    0.000    0.000    0.000    0.000 __init__.py:670(_set)
      621    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6860(getdoc)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
      595    0.000    0.000    0.000    0.000 enum.py:745(__delattr__)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      512    0.000    0.000    0.000    0.000 copyreg.py:104(__newobj__)
        1    0.000    0.000    0.000    0.000 tokenize.py:299(detect_encoding)
       91    0.000    0.000    0.000    0.000 core.py:2384(__init__)
       16    0.000    0.000    0.000    0.000 core.py:1561(__or__)
      206    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
      147    0.000    0.000    0.000    0.000 _parser.py:896(_parse_flags)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
      619    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       76    0.000    0.000    0.000    0.000 rcsetup.py:91(<listcomp>)
      610    0.000    0.000    0.000    0.000 inspect.py:292(isclass)
        1    0.000    0.000    0.000    0.000 progress.py:1049(Progress)
       11    0.000    0.000    0.000    0.000 version.py:184(__init__)
        2    0.000    0.000    0.000    0.000 axis.py:2536(_init)
  439/438    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       36    0.000    0.000    0.000    0.000 deprecation.py:187(finalize)
       37    0.000    0.000    0.000    0.000 transforms.py:1324(__init_subclass__)
     2403    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      504    0.000    0.000    0.000    0.000 __init__.py:99(check_in_list)
        4    0.000    0.000    0.000    0.000 markup.py:106(render)
        1    0.000    0.000    0.000    0.000 console.py:125(ConsoleOptions)
        1    0.000    0.000    0.000    0.000 markers.py:155(MarkerStyle)
        2    0.000    0.000    0.000    0.000 tokenize.py:323(read_or_stop)
        1    0.000    0.000    0.000    0.000 progress.py:1167(__enter__)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
       16    0.000    0.000    0.000    0.000 transforms.py:813(from_extents)
        1    0.000    0.000    0.000    0.000 progress.py:1156(start)
        1    0.000    0.000    0.000    0.000 containers.py:1(<module>)
      139    0.000    0.000    0.000    0.000 core.py:1964(__eq__)
        1    0.000    0.000    0.000    0.000 {method 'set_window_title' of '_macosx.FigureManager' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:982(<dictcomp>)
        1    0.000    0.000    0.000    0.000 live.py:104(start)
       42    0.000    0.000    0.000    0.000 core.py:2438(__init__)
        1    0.000    0.000    0.000    0.000 table.py:151(Table)
       15    0.000    0.000    0.000    0.000 _make.py:537(<listcomp>)
     1978    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:1(<module>)
       22    0.000    0.000    0.000    0.000 core.py:4077(_generateDefaultName)
      480    0.000    0.000    0.000    0.000 __init__.py:1467(debug)
        1    0.000    0.000    0.000    0.000 TiffTags.py:420(_populate)
        2    0.000    0.000    0.000    0.000 axis.py:2298(_init)
     2128    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x118fa84a0}
      629    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 figure.py:2360(Figure)
      512    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.000    0.000 _base.py:785(set_subplotspec)
        1    0.000    0.000    0.000    0.000 scale.py:737(_get_scale_docs)
      181    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
     2784    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
        2    0.000    0.000    0.000    0.000 progress.py:623(render)
     1107    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 unicode.py:63(<listcomp>)
      645    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      128    0.000    0.000    0.000    0.000 cbook.py:1782(<dictcomp>)
        3    0.000    0.000    0.000    0.000 _make.py:1828(_add_eq)
       16    0.000    0.000    0.000    0.000 core.py:4263(__init__)
      690    0.000    0.000    0.000    0.000 enum.py:193(__get__)
        1    0.000    0.000    0.000    0.000 patches.py:2658(ConnectionStyle)
        1    0.000    0.000    0.000    0.000 patches.py:4054(FancyArrowPatch)
        2    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        4    0.000    0.000    0.000    0.000 transforms.py:1106(get_points)
       25    0.000    0.000    0.000    0.000 _make.py:2534(from_counting_attr)
     1597    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        4    0.000    0.000    0.000    0.000 iterative.py:120(combine)
        4    0.000    0.000    0.000    0.000 core.py:1479(__mul__)
       45    0.000    0.000    0.000    0.000 transforms.py:1340(__add__)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
      200    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 _make.py:901(add_repr)
        1    0.000    0.000    0.000    0.000 progress.py:1065(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:3807(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 emoji.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:5899(__init__)
        8    0.000    0.000    0.000    0.000 deprecation.py:242(__set_name__)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
      8/4    0.000    0.000    0.000    0.000 measure.py:78(get)
      138    0.000    0.000    0.000    0.000 _parser.py:446(_uniq)
       18    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
      466    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        6    0.000    0.000    0.000    0.000 patches.py:2264(<listcomp>)
       16    0.000    0.000    0.000    0.000 table.py:620(_get_cells)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1345(<dictcomp>)
        1    0.000    0.000    0.000    0.000 backend_macosx.py:101(resize)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       36    0.000    0.000    0.000    0.000 lines.py:647(set_data)
      712    0.000    0.000    0.000    0.000 typing.py:895(__eq__)
      894    0.000    0.000    0.000    0.000 shape_base.py:1267(<genexpr>)
       20    0.000    0.000    0.000    0.000 progress.py:1554(<genexpr>)
       13    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       13    0.000    0.000    0.000    0.000 deprecation.py:457(<listcomp>)
        2    0.000    0.000    0.000    0.000 patches.py:694(__init__)
       34    0.000    0.000    0.000    0.000 <frozen posixpath>:229(expanduser)
       78    0.000    0.000    0.000    0.000 core.py:4078(<genexpr>)
       18    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 proj3d.py:1(<module>)
       12    0.000    0.000    0.000    0.000 lines.py:1183(set_marker)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       36    0.000    0.000    0.000    0.000 rcsetup.py:744(<genexpr>)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
     1427    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
  306/282    0.000    0.000    0.000    0.000 results.py:171(__init__)
     49/1    0.000    0.000    0.000    0.000 __config__.py:20(<dictcomp>)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       25    0.000    0.000    0.000    0.000 font_manager.py:899(copy)
       14    0.000    0.000    0.000    0.000 patches.py:880(get_bbox)
       47    0.000    0.000    0.000    0.000 colors.py:240(_check_color_like)
        1    0.000    0.000    0.000    0.000 gridspec.py:658(get_position)
      116    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       21    0.000    0.000    0.000    0.000 console.py:931(is_terminal)
       23    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
        1    0.000    0.000    0.000    0.000 patches.py:2293(BoxStyle)
      200    0.000    0.000    0.000    0.000 pyplot.py:164(_copy_docstring_and_deprecators)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       31    0.000    0.000    0.000    0.000 enum.py:1004(_find_new_)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       38    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
       45    0.000    0.000    0.000    0.000 transforms.py:2498(composite_transform_factory)
        2    0.000    0.000    0.000    0.000 decorator.py:215(decorator)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
       50    0.000    0.000    0.000    0.000 typing.py:329(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      325    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 progress.py:93(__exit__)
       18    0.000    0.000    0.000    0.000 cbook.py:215(connect)
        1    0.000    0.000    0.000    0.000 color_triplet.py:1(<module>)
     2182    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 markers.py:257(_recache)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
        1    0.000    0.000    0.000    0.000 _interface.py:1(<module>)
       29    0.000    0.000    0.000    0.000 text.py:982(set_color)
        2    0.000    0.000    0.000    0.000 threading.py:938(start)
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        5    0.000    0.000    0.000    0.000 dataclasses.py:845(_hash_add)
        3    0.000    0.000    0.000    0.000 pathlib.py:909(home)
        1    0.000    0.000    0.000    0.000 __init__.py:588(matplotlib_fname)
       54    0.000    0.000    0.000    0.000 _make.py:2476(__init__)
       98    0.000    0.000    0.000    0.000 style.py:146(_make_color)
     12/2    0.000    0.000    0.000    0.000 core.py:1538(makeOptionalList)
       18    0.000    0.000    0.000    0.000 fromnumeric.py:53(_wrapfunc)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:344(Slider)
       25    0.000    0.000    0.000    0.000 _make.py:2584(__getstate__)
      617    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      550    0.000    0.000    0.000    0.000 cbook.py:1851(_str_equal)
        1    0.000    0.000    0.000    0.000 ExifTags.py:304(GPS)
       52    0.000    0.000    0.000    0.000 artist.py:730(set_figure)
        1    0.000    0.000    0.000    0.000 patches.py:4394(ConnectionPatch)
       47    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        4    0.000    0.000    0.000    0.000 console.py:863(__exit__)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
       16    0.000    0.000    0.000    0.000 table.py:114(copy)
       91    0.000    0.000    0.000    0.000 dataclasses.py:368(field)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
       25    0.000    0.000    0.000    0.000 inspect.py:1441(formatannotation)
       22    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
        4    0.000    0.000    0.000    0.000 padding.py:125(__rich_measure__)
        1    0.000    0.000    0.000    0.000 pathlib.py:281(_make_selector)
      510    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        8    0.000    0.000    0.000    0.000 console.py:992(size)
       51    0.000    0.000    0.000    0.000 artist.py:437(set_transform)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:200(reshape)
        4    0.000    0.000    0.000    0.000 console.py:820(_exit_buffer)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
        5    0.000    0.000    0.000    0.000 dataclasses.py:638(_hash_fn)
       11    0.000    0.000    0.000    0.000 core.py:1697(__call__)
      676    0.000    0.000    0.000    0.000 _parser.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 control.py:1(<module>)
    28/24    0.000    0.000    0.000    0.000 spines.py:339(get_spine_transform)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 font_manager.py:1518(_cached_realpath)
        1    0.000    0.000    0.000    0.000 pathlib.py:349(__init__)
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
      537    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
  994/991    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
